RCPT_YR,CGG_NM,STDG_NM,LOTNO_SE_NM,MNO,SNO,BLDG_USG,LAND_AREA,ARCH_AREA,THING_AMT,CTRT_DAY,ARCH_YR,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,용산구,보광동,,,,단독다가구,155.0,337.37,520000,20250609,1995,중개거래,서울 용산구
2025,용산구,이태원동,,,,단독다가구,136.0,261.41,178000,20250610,2004,중개거래,"대전 유성구, 서울 중구"
2025,용산구,한강로3가,,,,단독다가구,89.0,43.64,377000,20250611,1963,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,208.0,172.36,600000,20250612,1983,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,132.0,199.88,157000,20250612,1991,중개거래,서울 은평구
2025,용산구,원효로2가,,,,단독다가구,288.0,541.44,507000,20250612,1988,중개거래,서울 용산구
2025,용산구,청파동2가,,,,단독다가구,105.0,165.24,152000,20250615,1991,중개거래,서울 용산구
2025,용산구,동빙고동,,,,단독다가구,106.0,153.03,480000,20250618,1993,중개거래,"서울 송파구, 서울 용산구"
2025,용산구,동빙고동,,,,단독다가구,119.0,56.6,450000,20250618,1967,중개거래,"서울 강남구, 서울 용산구"
2025,용산구,청파동2가,,,,단독다가구,62.0,89.26,68000,20250619,1943,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,139.0,222.81,430000,20250620,1990,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,73.0,160.77,340000,20250621,1995,중개거래,서울 용산구
2025,용산구,서빙고동,,,,단독다가구,112.0,164.85,520000,20250623,1992,중개거래,서울 용산구
2025,용산구,원효로3가,,,,단독다가구,94.0,58.18,193800,20250623,1966,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,67.0,37.47,80000,20250625,1985,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,89.0,133.86,345000,20250625,1989,중개거래,"서울 강남구, 서울 용산구"
2025,용산구,한남동,,,,단독다가구,190.0,223.38,548500,20250626,1988,중개거래,"서울 강남구, 서울 용산구"
2025,용산구,원효로4가,,,,단독다가구,99.0,152.34,165000,20250626,1996,중개거래,서울 용산구
2025,용산구,보광동,,,,단독다가구,89.0,146.2,360000,20250627,1993,중개거래,서울 용산구
2025,용산구,용산동2가,,,,단독다가구,152.0,242.82,230000,20250627,1990,중개거래,서울 용산구
2025,용산구,서빙고동,,,,단독다가구,66.0,101.19,370000,20250627,2007,중개거래,"서울 성동구, 서울 용산구"
2025,용산구,효창동,,,,단독다가구,62.0,72.34,92000,20250627,1966,중개거래,서울 용산구
